Subject,Start Date,Start Time,End Time,All Day Event,Description,Location
[REELS TEASER] Crisis cerebrales Parte 1 — Canal Veterinario,07/01/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Reels Teaser (15-30 seg) | Charla: Aproximación al paciente con crisis cerebrales. Parte 1 — Vet. Matías D'Elia — Neurología | Copy sugerido: ¿Sabes realmente cómo actuar frente a un paciente con crisis cerebrales? 🧠 Matías D'Elia te guía paso a paso en esta charla exclusiva de Canal Veterinario. Disponible ahora en nuestra plataforma. 👉 Suscribite este julio con precio especial. Link en bio. | Hashtags: #veterinaria #neurologiaveterinaria #capacitacionveterinaria #vetargentina #veterinariaclinica #canalveterinario #pequeñosanimales #crisiscerebral",Instagram
[CARRUSEL EDUCATIVO] ¿Qué es una crisis cerebral en mascotas?,07/02/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Carrusel Educativo (5-7 slides) | Charla: Aproximación al paciente con crisis cerebrales. Parte 1 — Vet. Matías D'Elia | Copy sugerido: Una crisis cerebral puede parecer aterradora, pero conocer los fundamentos cambia todo. 🐾 Deslizá para aprender los puntos clave que todo veterinario clínico debe manejar. Slide 1: Definición / Slide 2: Causas principales / Slide 3: Signos clínicos / Slide 4: Qué hacer en el momento / Slide 5: CTA suscripción — Charla completa en Canal Veterinario. 🎓 | Hashtags: #veterinaria #neurologiaveterinaria #capacitacionveterinaria #vetargentina #contenidoveterinario #canalveterinario #educacionveterinaria",Instagram
[HISTORIA DISERTANTE] Conocé a Matías D'Elia,07/03/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Post de Disertante | Charla: Crisis cerebrales — Vet. Matías D'Elia | Copy sugerido: 🎙 Te presentamos a Matías D'Elia, especialista en Neurología de pequeños animales. En Canal Veterinario podés acceder a sus charlas sobre crisis cerebrales y mucho más. Profesionales de primer nivel, desde donde estés, cuando quieras. 📲 Suscribite y empezá hoy. Link en bio. | Hashtags: #veterinaria #disertante #neurologiaveterinaria #capacitacionveterinaria #canalveterinario #vetargentina #pequeñosanimales",Instagram
[CTA SUSCRIPCION] Julio arranca — ¿Ya estás suscripto?,07/04/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Post Promocional / CTA Suscripción | Copy sugerido: 📅 ¡Julio arrancó y tenés la excusa perfecta para invertir en tu formación! 🎓 Canal Veterinario te ofrece charlas de especialistas en neurología, oftalmología y más. ✅ Formato video vía Telegram ✅ Suscripción mensual o trimestral ✅ Acceso desde donde estés 👉 canal-veterinario-live.web.app — Link en bio. | Hashtags: #veterinaria #capacitacionveterinaria #canalveterinario #vetargentina #suscripcion #educacionveterinaria #veterinariaonline",Instagram
[REELS TEASER] Crisis cerebrales Parte 2 — Canal Veterinario,07/07/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Reels Teaser (15-30 seg) | Charla: Aproximación al paciente con crisis cerebrales. Parte 2 — Vet. Matías D'Elia | Copy sugerido: ¿Viste la Parte 1? La Parte 2 de Matías D'Elia te lleva al siguiente nivel 🚀 Tratamiento, seguimiento y toma de decisiones en el paciente con crisis cerebrales. Todo en Canal Veterinario. 👇 ¿Cuándo fue la última vez que actualizaste tus conocimientos en neurología? | Hashtags: #veterinaria #neurologiaveterinaria #capacitacionveterinaria #canalveterinario #vetargentina #pequeñosanimales #tratamientoveterinario",Instagram
[CARRUSEL EDUCATIVO] Manejo del paciente con crisis: claves prácticas,07/08/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Carrusel Educativo (5-7 slides) | Charla: Crisis cerebrales. Parte 2 — Vet. Matías D'Elia | Copy sugerido: Del diagnóstico al tratamiento: lo que necesitás saber sobre el manejo de crisis cerebrales. 🧠🐕 Deslizá y guardá este carrusel para tu práctica diaria. Slide 1: Diagnóstico diferencial / Slide 2: Fármacos de primera línea / Slide 3: Monitoreo / Slide 4: Alta y seguimiento / Slide 5: Recursos en Canal Veterinario | Hashtags: #veterinaria #neurologiaveterinaria #canalveterinario #capacitacionveterinaria #veterinariaclinica #vetargentina",Instagram
[COMUNIDAD] Encuesta: ¿Qué área te genera más dudas?,07/09/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Post de Comunidad / Encuesta | Copy sugerido: ¿Cuál de estas áreas te genera más consultas en el día a día? 🤔 A) Neurología B) Oftalmología C) Medicina interna D) Otra (contanos en comentarios) Queremos crear el contenido que más te sirva. Guardá este post y compartilo con un colega. 🐾 | Hashtags: #veterinaria #vetargentina #capacitacionveterinaria #canalveterinario #comunidadveterinaria #estudianteveterinaria",Instagram
[BEHIND THE SCENES] Así se aprende en Canal Veterinario,07/10/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Behind the Scenes | Copy sugerido: 📱 Así se ve una charla en Canal Veterinario: video de alta calidad, audio profesional, disertantes especialistas, desde tu celular o computadora. No necesitás esperar al congreso de fin de año. La capacitación está disponible todos los meses. ¿Querés probarlo? Escribinos o entrá a canal-veterinario-live.web.app | Hashtags: #veterinaria #canalveterinario #capacitacionveterinaria #vetargentina #telegramveterinario #educacionveterinaria",Instagram
[REELS TEASER] Anatomía clínica del ojo — Parte 1,07/14/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Reels Teaser (15-30 seg) | Charla: Anatomía clínica del ojo. Parte 1 — Santiago Parrinello | Copy sugerido: ¿Podés identificar cada estructura del ojo de tu paciente con confianza? 👁 Santiago Parrinello te lleva por una anatomía clínica del ojo que vas a usar en cada consulta. Disponible ahora en Canal Veterinario. 🎓 ¡Guardá este post para compartirlo con tu equipo! | Hashtags: #veterinaria #oftalmologiaveterinaria #capacitacionveterinaria #canalveterinario #vetargentina #ojosveterinarios #pequeñosanimales",Instagram
[CARRUSEL EDUCATIVO] Anatomía del ojo: guía visual para el clínico,07/15/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Carrusel Educativo (6 slides) | Charla: Anatomía clínica del ojo. Parte 1 — Santiago Parrinello | Copy sugerido: ¿Sabés qué está mirando cuando examinás el ojo de un paciente? 👁🔍 Este carrusel resume los puntos clave de la anatomía ocular que todo clínico debe dominar. Slide 1: Estructuras externas / Slide 2: Cámara anterior / Slide 3: Cristalino / Slide 4: Retina / Slide 5: Nervio óptico / Slide 6: CTA Canal Veterinario — Guardá y compartí con tus colegas 🐾 | Hashtags: #veterinaria #oftalmologiaveterinaria #anatomiavet #canalveterinario #capacitacionveterinaria #vetargentina",Instagram
[HISTORIA DISERTANTE] Conocé a Santiago Parrinello,07/16/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Post de Disertante | Charla: Series de Oftalmología — Santiago Parrinello | Copy sugerido: 👨‍⚕ Santiago Parrinello es especialista en Oftalmología veterinaria de pequeños animales. En Canal Veterinario tenés acceso a 4 de sus charlas: anatomía del ojo, consulta oftalmológica y úlcera de córnea. Una formación completa en una de las áreas con más consultas diarias. 📲 canal-veterinario-live.web.app | Hashtags: #veterinaria #disertante #oftalmologiaveterinaria #capacitacionveterinaria #canalveterinario #vetargentina",Instagram
[CTA SUSCRIPCION] Mitad de julio — No te quedes afuera,07/17/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Post Promocional / CTA Suscripción | Copy sugerido: ¿Todavía no sos suscriptor de Canal Veterinario? 🤔 Este mes tenés charlas de neurología y oftalmología por los mejores especialistas. 📅 Suscripción mensual o trimestral 📲 Acceso por Telegram 💳 Pago seguro por MercadoPago ¡Sin excusas para dejar de capacitarte! 👉 canal-veterinario-live.web.app — Link en bio. | Hashtags: #veterinaria #capacitacionveterinaria #canalveterinario #vetargentina #suscripcion #veterinariaonline #educacionveterinaria",Instagram
[REELS TEASER] Anatomía clínica del ojo — Parte 2,07/21/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Reels Teaser (15-30 seg) | Charla: Anatomía clínica del ojo. Parte 2 — Santiago Parrinello | Copy sugerido: ¿Viste la Parte 1 de anatomía ocular? La Parte 2 de Santiago Parrinello profundiza en detalles que cambian cómo examinás a tus pacientes 🔬👁 Más charlas de oftalmología disponibles en Canal Veterinario. ¿Te gustaría ver un teaser de la consulta oftalmológica? Comentá 👇 | Hashtags: #veterinaria #oftalmologiaveterinaria #capacitacionveterinaria #canalveterinario #vetargentina #pequeñosanimales",Instagram
[CARRUSEL EDUCATIVO] La consulta oftalmológica paso a paso,07/22/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Carrusel Educativo (6 slides) | Charla: Consulta oftalmológica: ¿cómo la realizamos? — Santiago Parrinello | Copy sugerido: ¿Cómo estructurás tu consulta cuando el motivo es ocular? 👁 Acá te resumimos el protocolo de Santiago Parrinello. Slide 1: Anamnesis dirigida / Slide 2: Evaluación de reflejos / Slide 3: Examen externo / Slide 4: Biomicroscopía / Slide 5: Fondo de ojo / Slide 6: CTA Canal Veterinario — Guardá para tu práctica diaria 🐾 | Hashtags: #veterinaria #oftalmologiaveterinaria #consultaveterinaria #canalveterinario #capacitacionveterinaria #vetargentina",Instagram
[COMUNIDAD] ¿Cuántas consultas oftalmológicas atendés por semana?,07/23/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Post de Comunidad / Interacción | Copy sugerido: 👁 ¿Cuántas consultas con componente ocular recibís por semana? A) 1 a 2 B) 3 a 5 C) Más de 5 D) Derivación directa al especialista La oftalmología es una de las áreas con más consultas en la clínica de pequeños animales. ¿Sentís que tu formación en el tema es suficiente? Contanos en comentarios 👇 | Hashtags: #veterinaria #oftalmologiaveterinaria #capacitacionveterinaria #canalveterinario #vetargentina #comunidadveterinaria",Instagram
[BEHIND THE SCENES] ¿Cómo funciona Canal Veterinario?,07/24/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Behind the Scenes | Copy sugerido: ¿Cómo funciona Canal Veterinario? Te lo contamos en 4 pasos 👇 1️⃣ Suscribite en canal-veterinario-live.web.app 2️⃣ Pagá por MercadoPago (mensual o trimestral) 3️⃣ Accedé al canal de Telegram exclusivo 4️⃣ Disfrutá charlas en video de especialistas, cuando quieras, donde quieras. Simple. Efectivo. Profesional. 📲 | Hashtags: #veterinaria #canalveterinario #capacitacionveterinaria #vetargentina #telegram #mercadopago #suscripcion #educacionveterinaria",Instagram
[REELS TEASER] Ulcera de cornea — ¿Qué hacemos?,07/28/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Reels Teaser (15-30 seg) | Charla: ¿Qué pasa cuando mi paciente tiene úlcera de córnea? — Santiago Parrinello | Copy sugerido: 🚨 Úlcera de córnea: una de las urgencias oftalmológicas más frecuentes. ¿Sabés cómo manejarla? Santiago Parrinello te explica todo lo que necesitás saber en esta charla exclusiva de Canal Veterinario. 👇 Comentá: ¿alguna vez te enfrentaste a este caso en la guardia? | Hashtags: #veterinaria #oftalmologiaveterinaria #ulceradecornea #capacitacionveterinaria #canalveterinario #vetargentina #urgenciasveterinarias",Instagram
[CARRUSEL EDUCATIVO] Ulcera de cornea: diagnóstico y tratamiento,07/29/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Carrusel Educativo (6 slides) | Charla: ¿Qué pasa cuando mi paciente tiene úlcera de córnea? — Santiago Parrinello | Copy sugerido: 🔴 Tinción positiva = úlcera de córnea. ¿Y ahora qué? Deslizá para conocer el abordaje clínico completo de Santiago Parrinello. Slide 1: Tipos de úlcera / Slide 2: Diagnóstico diferencial / Slide 3: Tratamiento médico / Slide 4: Indicaciones quirúrgicas / Slide 5: Seguimiento / Slide 6: CTA Canal Veterinario — Guardá para tu próxima guardia 🐾 | Hashtags: #veterinaria #oftalmologiaveterinaria #ulceradecornea #capacitacionveterinaria #canalveterinario #vetargentina #cornea",Instagram
[TESTIMONIO] Lo que dicen nuestros suscriptores,07/30/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Testimonio / Post de Comunidad | Copy sugerido: 💬 Canal Veterinario me permite capacitarme sin tener que viajar a un congreso. Las charlas son prácticas y las puedo ver cuando tengo tiempo. 🐾 ¿Vos ya sos parte de la comunidad? Este mes cerramos julio con charlas de neurología y oftalmología de primer nivel. Suscribite antes de que termine el mes 👉 canal-veterinario-live.web.app | Hashtags: #veterinaria #capacitacionveterinaria #canalveterinario #testimonio #vetargentina #educacionveterinaria #comunidadveterinaria",Instagram
[CTA CIERRE DE MES] Ultimo dia para suscribirte en julio,07/31/2026,09:00 AM,09:30 AM,FALSE,"Tipo: Post Promocional / Urgencia / CTA Final | Copy sugerido: 🗓 Hoy es el último día de julio y podés cerrarlo sumándote a Canal Veterinario. ✅ Neurología con Matías D'Elia ✅ Oftalmología con Santiago Parrinello ✅ Más charlas sumándose cada mes 📲 Suscripción por Telegram | Pago por MercadoPago | Acceso inmediato No dejes para mañana la formación que podés tener hoy. 👉 canal-veterinario-live.web.app — Link en bio. | Hashtags: #veterinaria #capacitacionveterinaria #canalveterinario #vetargentina #suscripcion #ultimodia #educacionveterinaria #veterinariaonline",Instagram
